編號,車輛資訊,初始出發地,運用1,,,,,,運用2,,,,,,運用3,,,,,,運用4,,,,,,運用5,,,,,,運用6,,,,,,運用7,,,,,,運用8,,,,,,運用9,,,,,,運用10,,,,,,運用11,,,,,,運用12,,,,,,運用13,,,,,,運用14,,,,,,運用15,,,,,,運用16,,,,,,運用17,,,,,,運用18,,,,,,運用19,,,,,,運用20,,,,,,運用21,,,,,,運用22,,,,,,運用23,,,,,,運用24,,,,,,運用25,,,,,,運用26,,,,,,運用27,,,,,,運用28,,,,,,運用29,,,,,,運用30,,,,,,運用31,,,,,,運用32,,,,,,運用33,,,,,,運用34,,,,,,運用35,,,,,,運用36,,,,,,運用37,,,,,,運用38,,,,,,運用39,,,,,,運用40,,,,,,運用41,,,,,,運用42,,,,,,運用43,,,,,,運用44,,,,,,運用45,,,,,,運用46,,,,,,運用47,,,,,,運用48,,,,,,運用49,,,,,,運用50,,,,,,運用51,,,,,,運用52,,,,,,運用53,,,,,,運用54,,,,,,運用55,,,,,,運用56,,,,,,運用57,,,,,,運用58,,,,,,運用59,,,,,,運用60,,,,,,運用61,,,,,,運用62,,,,,,運用63,,,,,,運用64,,,,,,運用65,,,,,,運用66,,,,,,運用67,,,,,,運用68,,,,,,收班停留地
1,一般列車,S,1,回送,1001,S,>,O,2,入庫,,,>,O暫留線,3,test_C,3044,O,>,S,4,test_C,3047,S,>,O,5,test_C,3054,O,>,S,6,test_C,3055,S,>,J,7,test_A,2011,J,>,A,8,test_A,1014,A,>,J,9,入庫,,,>,J暫留線,10,test_C,3086,J,>,S,11,入庫,,,>,S庫,12,test_C,3105,S,>,O,13,入庫,,,>,O暫留線,14,test_C,3124,O,>,S,15,test_C,3123,S,>,O,16,test_C,3128,O,>,S,17,test_C,3131,S,>,O,18,test_C,3140,O,>,S,19,test_C,3139,S,>,O,20,test_C,3146,O,>,S,21,test_C,3147,S,>,O,22,test_C,3152,O,>,S,23,test_C,3155,S,>,O,24,test_C,3160,O,>,S,25,test_C,3163,S,>,O,26,入庫,,,>,O暫留線,27,test_C,3172,O,>,S,28,test_C,3175,S,>,O,29,test_C,3180,O,>,S,30,test_C,3183,S,>,O,31,入庫,,,>,O暫留線,32,test_C,3192,O,>,S,33,test_C,3195,S,>,O,34,test_C,3200,O,>,S,35,test_C,3203,S,>,O,36,入庫,,,>,O暫留線,37,test_C,3212,O,>,S,38,test_C,3215,S,>,O,39,test_C,3220,O,>,S,40,test_C,3223,S,>,O,41,入庫,,,>,O暫留線,42,test_C,3232,O,>,S,43,test_C,3235,S,>,O,44,test_C,3240,O,>,S,45,回送,1021,S,>,J,46,test_A,1047,J,>,A,47,test_A,3138,A,>,J,48,test_A,2071,J,>,A,49,test_A,2068,A,>,J,50,test_C,3278,J,>,S,51,入庫,,,>,S庫,52,test_C,3301,S,>,O,53,test_C,3312,O,>,S,54,test_C,3311,S,>,O,55,test_C,3316,O,>,S,56,test_C,3319,S,>,O,57,test_C,3326,O,>,S,58,test_C,3327,S,>,J,59,test_A,2085,J,>,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前往 S庫 (等待回送)
,T_001,,,,,03:06:30,,03:13:00,,O暫留線,,,,03:13:00,,上行,test_C_00,05:10:20,,05:18:20,,下行,test_C_500,05:21:00,,05:29:00,,上行,test_C_00,05:34:20,,05:42:20,,下行,test_C_501,05:45:00,,05:55:00,,下行,test_A_502,05:57:00,,06:17:40,,上行,test_A_03,06:18:00,,06:32:00,,J暫留線,,,,06:39:00,,上行,test_C_01,07:27:40,,07:37:40,,S庫,,,,07:45:40,,下行,test_C_500,07:57:30,,08:05:30,,O暫留線,,,,08:15:30,,上行,test_C_00,08:33:50,,08:41:50,,下行,test_C_500,08:42:30,,08:50:30,,上行,test_C_00,08:50:50,,08:58:50,,下行,test_C_500,09:02:43,,09:10:43,,上行,test_C_00,09:14:58,,09:22:58,,下行,test_C_500,09:24:32,,09:32:32,,上行,test_C_00,09:36:47,,09:44:47,,下行,test_C_500,09:46:21,,09:54:21,,上行,test_C_00,09:58:36,,10:06:36,,下行,test_C_500,10:09:00,,10:17:00,,上行,test_C_00,10:22:20,,10:30:20,,下行,test_C_500,10:33:00,,10:41:00,,O暫留線,,,,10:51:00,,上行,test_C_00,10:58:20,,11:06:20,,下行,test_C_500,11:09:00,,11:17:00,,上行,test_C_00,11:22:20,,11:30:20,,下行,test_C_500,11:33:00,,11:41:00,,O暫留線,,,,11:51:00,,上行,test_C_00,11:58:20,,12:06:20,,下行,test_C_500,12:09:00,,12:17:00,,上行,test_C_00,12:22:20,,12:30:20,,下行,test_C_500,12:33:00,,12:41:00,,O暫留線,,,,12:51:00,,上行,test_C_00,12:58:20,,13:06:20,,下行,test_C_500,13:09:00,,13:17:00,,上行,test_C_00,13:22:20,,13:30:20,,下行,test_C_500,13:33:00,,13:41:00,,O暫留線,,,,13:51:00,,上行,test_C_00,13:58:20,,14:06:20,,下行,test_C_500,14:09:00,,14:17:00,,上行,test_C_00,14:22:20,,14:30:20,,,,14:30:30,,14:38:30,,下行,test_A_503,14:39:55,,14:53:55,,上行,test_A_00,15:38:15,,16:03:15,,下行,test_A_502,16:06:00,,16:26:40,,上行,test_A_02,16:30:00,,16:50:40,,上行,test_C_01,16:52:40,,17:02:40,,S庫,,,,17:10:40,,下行,test_C_500,17:17:30,,17:25:30,,上行,test_C_00,17:33:50,,17:41:50,,下行,test_C_500,17:42:30,,17:50:30,,上行,test_C_00,17:50:50,,17:58:50,,下行,test_C_500,18:02:30,,18:10:30,,上行,test_C_00,18:13:50,,18:21:50,,下行,test_C_501,18:22:30,,18:32:30,,下行,test_A_502,18:35:00,,18:55:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:55:40
2,一般列車,A,1,回送,1080,A,>,Z,2,入庫,,,>,Z暫留線,3,test_B,1009,Z,>,A,4,test_B,2010,A,>,Z,5,test_B,3011,Z,>,A,6,test_B,3014,A,>,Z,7,test_B,3015,Z,>,A,8,test_B,3018,A,>,Z,9,入庫,,,>,Z暫留線,10,test_B,3021,Z,>,A,11,入庫,,,>,A庫,12,test_B,3026,A,>,Z,13,入庫,,,>,Z暫留線,14,test_B,3029,Z,>,A,15,入庫,,,>,A庫,16,test_B,3034,A,>,Z,17,入庫,,,>,Z暫留線,18,test_B,1027,Z,>,A,19,test_B,3040,A,>,Z,20,test_B,3041,Z,>,A,21,入庫,,,>,A庫,22,test_B,3044,A,>,Z,23,test_B,1033,Z,>,A,24,test_B,2034,A,>,Z,25,test_B,3047,Z,>,A,26,入庫,,,>,A庫,27,test_B,3052,A,>,Z,28,test_B,1041,Z,>,A,29,test_B,2042,A,>,Z,30,test_B,3055,Z,>,A,31,入庫,,,>,A庫,32,test_B,3058,A,>,Z,33,test_B,1047,Z,>,A,34,test_B,2048,A,>,Z,35,test_B,3061,Z,>,A,36,入庫,,,>,A庫,37,test_B,3064,A,>,Z,38,test_B,1053,Z,>,A,39,test_B,2054,A,>,Z,40,test_B,1055,Z,>,A,41,test_B,2056,A,>,Z,42,入庫,,,>,Z暫留線,43,test_B,3069,Z,>,A,44,入庫,,,>,A庫,45,test_B,3072,A,>,Z,46,入庫,,,>,Z暫留線,47,test_B,3073,Z,>,A,48,入庫,,,>,A庫,49,test_B,3076,A,>,Z,50,入庫,,,>,Z暫留線,51,test_B,3077,Z,>,A,52,入庫,,,>,A庫,53,test_B,3080,A,>,Z,54,入庫,,,>,Z暫留線,55,test_B,3081,Z,>,A,56,入庫,,,>,A庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A庫
,T_001,,,,,03:11:55,,03:23:25,,Z暫留線,,,,03:23:25,,下行,test_B_502,05:07:30,,05:19:30,,上行,test_B_01,05:25:40,,05:39:40,,下行,test_B_500,05:45:00,,06:03:00,,上行,test_B_00,06:10:00,,06:28:00,,下行,test_B_500,06:30:00,,06:48:00,,上行,test_B_00,06:56:55,,07:14:55,,Z暫留線,,,,07:20:55,,下行,test_B_500,07:23:10,,07:41:10,,A庫,,,,07:49:10,,上行,test_B_00,07:55:40,,08:13:40,,Z暫留線,,,,08:19:40,,下行,test_B_500,08:23:10,,08:41:10,,A庫,,,,08:49:10,,上行,test_B_00,08:55:40,,09:13:40,,Z暫留線,,,,09:19:40,,下行,test_B_502,09:37:30,,09:49:30,,上行,test_B_00,09:56:55,,10:14:55,,下行,test_B_500,10:15:00,,10:33:00,,A庫,,,,10:41:00,,上行,test_B_00,10:45:00,,11:03:00,,下行,test_B_502,11:07:30,,11:19:30,,上行,test_B_01,11:25:40,,11:39:40,,下行,test_B_500,11:45:00,,12:03:00,,A庫,,,,12:11:00,,上行,test_B_00,12:45:00,,13:03:00,,下行,test_B_502,13:07:30,,13:19:30,,上行,test_B_01,13:25:40,,13:39:40,,下行,test_B_500,13:45:00,,14:03:00,,A庫,,,,14:11:00,,上行,test_B_00,14:15:00,,14:33:00,,下行,test_B_502,14:37:30,,14:49:30,,上行,test_B_01,14:55:40,,15:09:40,,下行,test_B_500,15:15:00,,15:33:00,,A庫,,,,15:41:00,,上行,test_B_00,15:45:00,,16:03:00,,下行,test_B_502,16:07:30,,16:19:30,,上行,test_B_01,16:22:30,,16:36:30,,下行,test_B_502,16:37:30,,16:49:30,,上行,test_B_01,16:52:30,,17:06:30,,Z暫留線,,,,17:12:30,,下行,test_B_500,17:15:00,,17:33:00,,A庫,,,,17:41:00,,上行,test_B_00,17:45:45,,18:03:45,,Z暫留線,,,,18:09:45,,下行,test_B_500,18:15:00,,18:33:00,,A庫,,,,18:41:00,,上行,test_B_00,18:45:45,,19:03:45,,Z暫留線,,,,19:09:45,,下行,test_B_500,19:15:00,,19:33:00,,A庫,,,,19:41:00,,上行,test_B_00,19:45:45,,20:03:45,,Z暫留線,,,,20:09:45,,下行,test_B_500,20:15:00,,20:33:00,,A庫,,,,20:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:41:00
3,一般列車,A,1,回送,1084,A,>,J,2,入庫,,,>,J暫留線,3,test_A,1009,J,>,A,4,test_A,2010,A,>,J,5,test_C,3052,J,>,S,6,test_C,3059,S,>,O,7,test_C,3072,O,>,S,8,test_C,3071,S,>,J,9,test_A,1015,J,>,A,10,入庫,,,>,A庫,11,test_A,3040,A,>,J,12,入庫,,,>,J暫留線,13,test_A,3049,J,>,A,14,test_A,1022,A,>,J,15,入庫,,,>,J暫留線,16,回送,1081,J,>,A,17,test_A,2036,A,>,J,18,test_A,3085,J,>,A,19,入庫,,,>,A庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A庫
,T_001,,,,,03:14:15,,03:27:35,,J暫留線,,,,03:27:35,,下行,test_A_503,05:07:30,,05:21:30,,上行,test_A_02,05:22:30,,05:43:10,,上行,test_C_01,05:45:10,,05:55:10,,下行,test_C_500,05:57:00,,06:05:00,,上行,test_C_00,06:20:25,,06:28:25,,下行,test_C_501,06:31:10,,06:41:10,,下行,test_A_503,06:42:00,,06:56:00,,A庫,,,,07:04:00,,上行,test_A_00,07:09:00,,07:34:00,,J暫留線,,,,07:41:00,,下行,test_A_500,07:48:50,,08:13:50,,上行,test_A_03,08:15:00,,08:29:00,,J暫留線,,,,08:36:00,,,,08:46:20,,08:59:40,,上行,test_A_02,09:06:00,,09:26:40,,下行,test_A_500,09:30:00,,09:55:00,,A庫,,,,10:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:03:00
4,一般列車,S,1,回送,1003,S,>,O,2,test_C,3042,O,>,S,3,test_C,3045,S,>,J,4,test_A,2009,J,>,A,5,test_A,2012,A,>,J,6,test_C,3062,J,>,S,7,回送,1017,S,>,J,8,test_A,2015,J,>,A,9,test_A,2020,A,>,J,10,test_A,3047,J,>,A,11,test_A,2026,A,>,J,12,test_C,3108,J,>,S,13,入庫,,,>,S庫,14,test_C,3121,S,>,J,15,test_A,2033,J,>,A,16,test_A,3084,A,>,J,17,test_A,3089,J,>,F,18,test_A,3160,F,>,J,19,入庫,,,>,J暫留線,20,test_A,3165,J,>,A,21,test_A,2082,A,>,J,22,test_A,3179,J,>,F,23,test_A,3192,F,>,J,24,入庫,,,>,J暫留線,25,test_A,2095,J,>,A,26,test_A,3202,A,>,J,27,test_A,1071,J,>,A,28,test_A,3214,A,>,J,29,test_A,1075,J,>,A,30,test_A,3222,A,>,J,31,入庫,,,>,J暫留線,32,test_A,3229,J,>,A,33,test_A,2114,A,>,J,34,回送,1099,J,>,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前往 S庫 (等待回送)
,T_002,,,,,03:12:30,,03:19:00,,上行,test_C_00,05:04:20,,05:12:20,,下行,test_C_501,05:15:00,,05:25:00,,下行,test_A_502,05:27:00,,05:47:40,,上行,test_A_02,05:52:30,,06:13:10,,上行,test_C_01,06:15:10,,06:25:10,,,,06:28:05,,06:36:05,,下行,test_A_502,06:43:10,,07:03:50,,上行,test_A_02,07:05:00,,07:25:40,,下行,test_A_500,07:27:00,,07:52:00,,上行,test_A_02,07:55:00,,08:15:40,,上行,test_C_01,08:17:40,,08:27:40,,S庫,,,,08:35:40,,下行,test_C_501,08:37:30,,08:47:30,,下行,test_A_502,08:51:10,,09:11:50,,上行,test_A_00,09:21:25,,09:46:25,,下行,test_A_501,09:47:08,,09:58:48,,上行,test_A_01,17:26:15,,17:37:55,,J暫留線,,,,17:44:55,,下行,test_A_500,17:50:40,,18:15:40,,上行,test_A_02,18:25:00,,18:45:40,,下行,test_A_501,18:45:40,,18:57:20,,上行,test_A_01,19:26:15,,19:37:55,,J暫留線,,,,19:44:55,,下行,test_A_502,19:49:30,,20:10:10,,上行,test_A_00,20:12:00,,20:37:00,,下行,test_A_503,20:42:00,,20:56:00,,上行,test_A_00,21:08:15,,21:33:15,,下行,test_A_503,21:39:55,,21:53:55,,上行,test_A_00,22:10:40,,22:35:40,,J暫留線,,,,22:42:40,,下行,test_A_500,23:46:10,,00:11:10,,上行,test_A_02,00:15:00,,00:35:40,,,,00:43:40,,00:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:57:00
5,一般列車,A,1,回送,1082,A,>,Z,2,入庫,,,>,Z暫留線,3,test_B,2009,Z,>,A,4,test_B,1012,A,>,Z,5,入庫,,,>,Z暫留線,6,test_B,2013,Z,>,A,7,test_B,1016,A,>,Z,8,test_B,2015,Z,>,A,9,test_B,1018,A,>,Z,10,test_B,2017,Z,>,A,11,test_B,1020,A,>,Z,12,test_B,2019,Z,>,A,13,test_B,1022,A,>,Z,14,test_B,2021,Z,>,A,15,test_B,1024,A,>,Z,16,test_B,2023,Z,>,A,17,test_B,1026,A,>,Z,18,test_B,2025,Z,>,A,19,test_B,1028,A,>,Z,20,test_B,3039,Z,>,A,21,test_B,3042,A,>,Z,22,test_B,1031,Z,>,A,23,入庫,,,>,A庫,24,test_B,1038,A,>,Z,25,入庫,,,>,Z暫留線,26,test_B,2039,Z,>,A,27,test_B,1042,A,>,Z,28,入庫,,,>,Z暫留線,29,test_B,2043,Z,>,A,30,test_B,1046,A,>,Z,31,入庫,,,>,Z暫留線,32,test_B,2047,Z,>,A,33,test_B,1050,A,>,Z,34,入庫,,,>,Z暫留線,35,test_B,2051,Z,>,A,36,test_B,1054,A,>,Z,37,test_B,2053,Z,>,A,38,test_B,1056,A,>,Z,39,test_B,2055,Z,>,A,40,test_B,1058,A,>,Z,41,test_B,2057,Z,>,A,42,test_B,1060,A,>,Z,43,test_B,2059,Z,>,A,44,test_B,1062,A,>,Z,45,test_B,2061,Z,>,A,46,test_B,1064,A,>,Z,47,test_B,2063,Z,>,A,48,test_B,1066,A,>,Z,49,test_B,2065,Z,>,A,50,test_B,1068,A,>,Z,51,test_B,2067,Z,>,A,52,test_B,1070,A,>,Z,53,test_B,2069,Z,>,A,54,test_B,1072,A,>,Z,55,test_B,2071,Z,>,A,56,test_B,1074,A,>,Z,57,入庫,,,>,Z暫留線,58,test_B,2075,Z,>,A,59,入庫,,,>,A庫,60,test_B,2084,A,>,Z,61,入庫,,,>,Z暫留線,62,回送,1079,Z,>,A,63,入庫,,,>,A庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A庫
,T_002,,,,,03:17:30,,03:29:00,,Z暫留線,,,,03:29:00,,下行,test_B_501,05:22:30,,05:36:30,,上行,test_B_02,05:40:45,,05:52:45,,Z暫留線,,,,05:58:45,,下行,test_B_501,06:22:30,,06:36:30,,上行,test_B_02,06:38:30,,06:50:30,,下行,test_B_501,06:52:30,,07:06:30,,上行,test_B_02,07:07:30,,07:19:30,,下行,test_B_501,07:22:30,,07:36:30,,上行,test_B_02,07:37:30,,07:49:30,,下行,test_B_501,07:52:30,,08:06:30,,上行,test_B_02,08:07:30,,08:19:30,,下行,test_B_501,08:22:30,,08:36:30,,上行,test_B_02,08:37:30,,08:49:30,,下行,test_B_501,08:52:30,,09:06:30,,上行,test_B_02,09:07:30,,09:19:30,,下行,test_B_501,09:22:30,,09:36:30,,上行,test_B_02,09:38:30,,09:50:30,,下行,test_B_500,09:53:10,,10:11:10,,上行,test_B_00,10:15:00,,10:33:00,,下行,test_B_502,10:37:30,,10:49:30,,A庫,,,,10:57:30,,上行,test_B_02,12:10:45,,12:22:45,,Z暫留線,,,,12:28:45,,下行,test_B_501,12:52:30,,13:06:30,,上行,test_B_02,13:10:45,,13:22:45,,Z暫留線,,,,13:28:45,,下行,test_B_501,13:52:30,,14:06:30,,上行,test_B_02,14:10:45,,14:22:45,,Z暫留線,,,,14:28:45,,下行,test_B_501,14:52:30,,15:06:30,,上行,test_B_02,15:10:45,,15:22:45,,Z暫留線,,,,15:28:45,,下行,test_B_501,15:52:30,,16:06:30,,上行,test_B_02,16:07:30,,16:19:30,,下行,test_B_501,16:22:30,,16:36:30,,上行,test_B_02,16:38:30,,16:50:30,,下行,test_B_501,16:52:30,,17:06:30,,上行,test_B_02,17:07:30,,17:19:30,,下行,test_B_501,17:22:30,,17:36:30,,上行,test_B_02,17:37:30,,17:49:30,,下行,test_B_501,17:52:30,,18:06:30,,上行,test_B_02,18:07:30,,18:19:30,,下行,test_B_501,18:22:30,,18:36:30,,上行,test_B_02,18:37:30,,18:49:30,,下行,test_B_501,18:52:30,,19:06:30,,上行,test_B_02,19:07:30,,19:19:30,,下行,test_B_501,19:22:30,,19:36:30,,上行,test_B_02,19:37:30,,19:49:30,,下行,test_B_501,19:52:30,,20:06:30,,上行,test_B_02,20:07:30,,20:19:30,,下行,test_B_501,20:22:30,,20:36:30,,上行,test_B_02,20:38:30,,20:50:30,,下行,test_B_501,20:52:30,,21:06:30,,上行,test_B_02,21:10:45,,21:22:45,,Z暫留線,,,,21:28:45,,下行,test_B_501,21:52:30,,22:06:30,,A庫,,,,22:14:30,,上行,test_B_01,23:48:10,,00:02:10,,Z暫留線,,,,00:08:10,,,,00:10:10,,00:21:40,,A庫,,,,00:21:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:21:40
